Resource,Endpoint,Row_Type,Name,Type_or_Lookup,Notes
API,https://metron.cloud/api/,Info,base_url,-,All endpoints below are relative to this base.
API,https://metron.cloud/api/,Info,auth,HTTP Basic Auth or session cookie,Confirmed via live request: GET /api/issue/1/ returns 401 'Authentication credentials were not provided' without credentials. Free account signup required at metron.cloud.
API,https://metron.cloud/api/,Info,permission_model,DjangoModelPermissions,Read access requires the authenticated user to hold Django 'view' permission on that model; write (add/change/delete) needs elevated permission.
API,https://metron.cloud/api/,Info,rate_limit_burst,20/minute,Confirmed via response headers x-ratelimit-burst-limit and Django settings DEFAULT_THROTTLE_RATES.
API,https://metron.cloud/api/,Info,rate_limit_sustained,5000/day,Confirmed via response headers x-ratelimit-sustained-limit and Django settings DEFAULT_THROTTLE_RATES.
API,https://metron.cloud/api/,Info,pagination,"PageNumberPagination, page_size=100",Django REST Framework default pagination; list endpoints return 100 results per page.
API,https://metron.cloud/api/,Info,license,CC BY-SA 4.0,Per OpenAPI schema info.license at /api/schema/.
API,https://metron.cloud/api/,Info,schema,/api/schema/,OpenAPI 3.0.3 schema endpoint; full path/operation detail requires authentication to render (anonymous request only returns the schema-of-the-schema-endpoint itself).
Issue,/api/issue/,Endpoint Info,methods,"GET (list), GET (detail), POST, PUT, PATCH, DELETE",Full ModelViewSet; write ops require elevated Django permission on top of auth.
Issue,/api/issue/,Response Field (detail),id,AutoField,Primary key
Issue,/api/issue/,Response Field (detail),series,FK -> Series,"Nested IssueSeriesSerializer on read (id, name, sort_name, volume, year_began, series_type, genres)"
Issue,/api/issue/,Response Field (detail),publisher,FK -> Publisher (via series),"Read-only nested BasicPublisherSerializer (id, name); derived from series.publisher"
Issue,/api/issue/,Response Field (detail),imprint,FK -> Imprint (via series),"Read-only nested BasicImprintSerializer (id, name); derived from series.imprint"
Issue,/api/issue/,Response Field (detail),number,CharField(25),"Issue number, e.g. '1', 'Annual 1'"
Issue,/api/issue/,Response Field (detail),alt_number,CharField(25),Alternate numbering scheme
Issue,/api/issue/,Response Field (detail),title,CharField(255),"Collection title, used for TPB/GN issues"
Issue,/api/issue/,Response Field (detail),name,ArrayField(CharField(150)),List of story titles
Issue,/api/issue/,Response Field (detail),cover_date,DateField,
Issue,/api/issue/,Response Field (detail),store_date,"DateField, nullable",In-store release date
Issue,/api/issue/,Response Field (detail),foc_date,"DateField, nullable",Final Order Cutoff date
Issue,/api/issue/,Response Field (detail),price,MoneyField,"Cover price; read returns decimal string, price_currency gives ISO code (USD/GBP)"
Issue,/api/issue/,Response Field (detail),rating,FK -> Rating,"Read-only nested RatingSerializer (id, name, short_description, description)"
Issue,/api/issue/,Response Field (detail),sku,CharField(12),Distributor SKU
Issue,/api/issue/,Response Field (detail),isbn,CharField(13),"ISBN, mainly for TPB/GN/HC"
Issue,/api/issue/,Response Field (detail),upc,CharField(20),UPC code for the BASE issue (primary cover/printing). THIS is the field to filter scanned 12-digit UPCs against.
Issue,/api/issue/,Response Field (detail),page,"PositiveSmallIntegerField, nullable",Page count
Issue,/api/issue/,Response Field (detail),desc,TextField,Synopsis
Issue,/api/issue/,Response Field (detail),image,ImageField,Cover image URL
Issue,/api/issue/,Response Field (detail),cover_hash,CharField(16),"Perceptual hash of cover image, used for image-based matching"
